FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
AAZQ11,INDEFINIDO,"9,01","1.148.695,48","0,93","0,12","1,32 %","3,95 %","7,79 %","16,05 %","1,32 %","1,30 %","1,46 %","16,05 %","0,00 %","1,32 %","9,13 %","232.015.130,66","9,65","0,93","1,24 %","0,00 %","0,00 %","0,00 %",0,"14,73",21.961,N/A,N/A,N/A
ABCP11,SHOPPINGS,"71,50","74.770,00","0,76","0,65","0,93 %","2,66 %","4,95 %","9,39 %","0,89 %","0,83 %","0,78 %","9,39 %","0,52 %","1,45 %","3,59 %","432.677.384,28","91,88","0,78","0,65 %","0,07 %","0,72 %","7,89 %",1,"15,29",17.274,N/A,N/A,N/A
AFHI11,PAPÉIS,"99,82","846.449,95","1,04","1,00","1,03 %","3,16 %","6,41 %","13,13 %","1,05 %","1,07 %","1,09 %","12,10 %","0,81 %","1,85 %","13,37 %","322.360.025,56","96,43","1,04","1,04 %","1,54 %","2,59 %","9,02 %",0,"8,36",26.665,N/A,N/A,N/A
AGRX11,OUTROS,"11,02","456.203,52",N/A,"0,15","1,37 %","4,16 %","8,02 %","16,98 %","1,39 %","1,34 %","1,42 %","16,00 %","1,76 %","3,16 %","25,45 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"15,23",0,N/A,N/A,N/A
AIEC11,LAJES CORPORATIVAS,"56,08","878.158,38","0,59","1,33","2,33 %","3,72 %","7,31 %","14,41 %","1,24 %","1,22 %","1,20 %","14,68 %","0,00 %","0,00 %",N/A,"459.168.601,98","95,16","0,59","0,82 %","1,76 %","2,60 %","3,78 %",2,"16,90",16.416,N/A,N/A,N/A
ALMI11,LAJES CORPORATIVAS,"690,00","10.877,78","0,34","0,37","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"226.770.229,25","2.046,78","0,34","0,00 %","-0,05 %","-0,05 %","0,90 %",1,"30,86",2.260,N/A,N/A,N/A
ALZM11,FUNDO DE FUNDOS,"8,75","192.855,43","0,10","0,90","10,44 %","29,42 %","54,68 %","116,17 %","9,81 %","9,11 %","9,68 %","104,02 %","-0,58 %","9,80 %","169,44 %","132.710.343,15","87,42","0,10","1,03 %","-5,54 %","-4,57 %","-0,60 %",0,"19,86",5.416,N/A,N/A,N/A
ALZR11,MISTO,"119,96","1.623.580,81","1,11","0,83","0,70 %","2,13 %","4,25 %","8,55 %","0,71 %","0,71 %","0,71 %","7,86 %","2,35 %","3,07 %","11,27 %","1.054.548.638,60","106,95","1,12","0,77 %","0,06 %","0,83 %","8,89 %",13,"11,03",148.351,N/A,N/A,N/A
APTO11,IMÓVEIS RESIDENCIAIS,"9,83","35.507,33","0,95","0,09","0,92 %","2,77 %","5,80 %","12,88 %","0,92 %","0,97 %","1,07 %","12,88 %","0,62 %","1,54 %","26,18 %","41.413.353,35","10,32","0,95","0,87 %","3,61 %","4,52 %","19,34 %",4,"16,94",9.874,N/A,N/A,N/A
APXM11,SHOPPINGS,"101,99","1.222.116,00","1,07","0,60","0,58 %","1,46 %","1,85 %","1,85 %","0,49 %","0,62 %","0,62 %","1,85 %","0,00 %","0,58 %","-11,99 %","168.932.126,41",N/A,N/A,N/A,N/A,N/A,N/A,1,"62,97",321,N/A,N/A,N/A
ARCT11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"87,13","1.053.903,45","0,87","0,50","0,00 %","1,30 %","3,82 %","12,55 %","0,43 %","0,64 %","1,05 %","0,00 %","0,00 %","0,00 %",N/A,"371.534.654,03","99,77","0,87","0,76 %","0,04 %","0,80 %","6,31 %",9,"15,63",43.228,N/A,N/A,N/A
AROA11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"2,30","73.455,40","3,38","0,01","0,42 %","0,42 %","0,42 %","0,42 %","0,14 %","0,07 %","0,05 %","0,42 %","0,00 %","0,00 %",N/A,"178.642.329,69",N/A,N/A,N/A,N/A,N/A,N/A,6,"544,08",52,N/A,N/A,N/A
ARRI11,PAPÉIS,"8,98","222.055,76","1,00","0,10","1,10 %","3,21 %","6,54 %","13,73 %","1,07 %","1,09 %","1,14 %","13,73 %","0,22 %","1,32 %","12,04 %","117.062.693,88","8,97","1,00","1,11 %","1,24 %","2,37 %","-88,75 %",0,"14,38",27.852,N/A,N/A,N/A
ARXD11,PAPÉIS,"97,50","30.831,60","0,98","1,00","1,03 %","3,09 %","3,09 %","3,09 %","1,03 %","0,52 %","0,39 %","3,09 %","3,18 %","4,24 %","-0,93 %","64.727.873,05",N/A,N/A,N/A,N/A,N/A,N/A,0,"28,99",557,N/A,N/A,N/A
ASMT11,LAJES CORPORATIVAS,"56,92","12.240,86","0,67","0,77","1,11 %","3,18 %","6,17 %","11,50 %","1,06 %","1,03 %","0,96 %","1,11 %","-5,50 %","-4,46 %","-4,46 %","86.381.880,18",N/A,N/A,N/A,N/A,N/A,N/A,3,"47,74",509,N/A,N/A,N/A
ASRF11,INDEFINIDO,"10.092,00","30.276,00","1,00","256,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"24.325.324,36",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,56,N/A,N/A,N/A
ATSA11,SHOPPINGS,"54,90","1.445,00","0,67","0,05","0,00 %","0,13 %","0,19 %","0,99 %","0,04 %","0,03 %","0,08 %","0,07 %","0,00 %","0,00 %",N/A,"143.217.097,46","81,57","0,67","0,06 %","0,16 %","0,22 %","-8,99 %",1,"27,79",283,N/A,N/A,N/A
AURB11,IMÓVEIS COMERCIAIS - OUTROS,N/A,N/A,N/A,"0,20","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"73.000.363,24",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,5,N/A,N/A,N/A
BARI11,PAPÉIS,"82,95","760.100,62","0,87","0,69","0,83 %","2,37 %","4,59 %","11,14 %","0,79 %","0,77 %","0,93 %","11,14 %","4,51 %","5,37 %","6,50 %","445.948.564,00","96,23","0,86","0,70 %","0,91 %","1,61 %","6,21 %",0,"15,46",37.979,N/A,N/A,N/A
